census,year,site,block,treatment,plot,species,<0.5m,0.5_1m,<1m,1_2m,2_3m,3_4m,>4m,total
4,2012,S,3,TOTAL,S3TOTAL,Acacia_tortilis,0,0,0,1,0,0,0,1
4,2012,S,3,TOTAL,S3TOTAL,Balanites_rotundifolia,0,0,0,3,5,0,4,12
4,2012,S,3,TOTAL,S3TOTAL,Boscia_angustifolia,NA,NA,1,3,0,3,0,7
4,2012,S,3,TOTAL,S3TOTAL,Commiphora_habessinica,NA,NA,1,0,0,0,0,1
4,2012,S,3,TOTAL,S3TOTAL,Commiphora_spp,0,0,0,3,0,0,0,3
4,2012,S,3,TOTAL,S3TOTAL,Croton_dichogamus,NA,NA,1,15,1,2,0,19
4,2012,S,3,TOTAL,S3TOTAL,Euclea_divinorum,NA,NA,1,4,1,2,0,8
4,2012,S,3,TOTAL,S3TOTAL,Grewia_kakothamnos,NA,NA,3,63,13,7,2,88
4,2012,S,3,TOTAL,S3TOTAL,Lycium_europaeum,0,0,0,2,0,0,0,2
4,2012,S,3,TOTAL,S3TOTAL,Maerua_angolensis,0,0,0,3,0,0,0,3
4,2012,S,3,TOTAL,S3TOTAL,Opuntia_ficus-indica,NA,NA,3,3,0,0,0,6
4,2012,S,3,TOTAL,S3TOTAL,Pyrostria_phyllanthoidea,0,0,0,1,0,0,0,1
4,2012,S,3,TOTAL,S3TOTAL,Rhus_natalensis,0,0,0,11,0,0,0,11
5,2013,C,1,MEGA,C1MEGA,Acacia_brevispica,0,3,3,21,13,6,1,44
5,2013,C,1,MEGA,C1MEGA,Acacia_etbaica,3,46,49,54,48,52,7,210
5,2013,C,1,MEGA,C1MEGA,Acacia_mellifera,4,8,12,4,7,6,0,29
5,2013,C,1,MEGA,C1MEGA,Acacia_tortilis,1,0,1,1,0,0,0,2
5,2013,C,1,MEGA,C1MEGA,Balanites_rotundifolia,0,0,0,0,0,0,1,1
5,2013,C,1,MEGA,C1MEGA,Commiphora_habessinica,0,3,3,1,1,0,0,5
5,2013,C,1,MEGA,C1MEGA,Croton_dichogamus,1,0,1,4,1,0,0,6
5,2013,C,1,MEGA,C1MEGA,Grewia_kakothamnos,0,1,1,4,0,1,0,6
5,2013,C,1,MESO,C1MESO,Acacia_brevispica,585,28,613,19,31,32,56,751
5,2013,C,1,MESO,C1MESO,Acacia_etbaica,0,34,34,54,62,33,45,228
5,2013,C,1,MESO,C1MESO,Acacia_mellifera,1,6,7,6,10,5,2,30
5,2013,C,1,MESO,C1MESO,Acacia_tortilis,0,0,0,0,1,0,0,1
5,2013,C,1,MESO,C1MESO,Balanites_rotundifolia,0,0,0,0,0,0,3,3
5,2013,C,1,MESO,C1MESO,Boscia_angustifolia,0,0,0,1,0,1,2,4
5,2013,C,1,MESO,C1MESO,Commiphora_habessinica,0,0,0,1,0,0,0,1
5,2013,C,1,MESO,C1MESO,Croton_dichogamus,0,1,1,41,16,0,0,58
5,2013,C,1,MESO,C1MESO,Grewia_kakothamnos,0,0,0,13,11,7,0,31
5,2013,C,1,MESO,C1MESO,Lycium_europaeum,0,0,0,2,0,0,0,2
5,2013,C,1,OPEN,C1OPEN,Acacia_brevispica,23,31,54,70,9,3,0,136
5,2013,C,1,OPEN,C1OPEN,Acacia_etbaica,2,22,24,50,47,9,2,132
5,2013,C,1,OPEN,C1OPEN,Acacia_mellifera,3,25,28,25,13,3,1,70
5,2013,C,1,OPEN,C1OPEN,Acacia_nilotica,0,1,1,0,0,0,0,1
5,2013,C,1,OPEN,C1OPEN,Acacia_tortilis,0,1,1,1,0,0,0,2
5,2013,C,1,OPEN,C1OPEN,Balanites_rotundifolia,0,1,1,0,1,1,0,3
5,2013,C,1,OPEN,C1OPEN,Boscia_angustifolia,0,1,1,2,2,1,0,6
5,2013,C,1,OPEN,C1OPEN,Commiphora_habessinica,0,1,1,0,0,0,0,1
5,2013,C,1,OPEN,C1OPEN,Cordia_monoica,0,1,1,0,0,0,0,1
5,2013,C,1,OPEN,C1OPEN,Croton_dichogamus,0,11,11,24,0,0,0,35
5,2013,C,1,OPEN,C1OPEN,Grewia_kakothamnos,1,17,18,10,0,1,0,29
5,2013,C,1,OPEN,C1OPEN,Lycium_europaeum,0,2,2,1,0,0,0,3
5,2013,C,1,OPEN,C1OPEN,NONE,0,0,0,0,0,0,0,0
5,2013,C,1,TOTAL,C1TOTAL,Acacia_brevispica,15,16,31,75,100,29,35,270
5,2013,C,1,TOTAL,C1TOTAL,Acacia_etbaica,1,13,14,69,54,41,29,207
5,2013,C,1,TOTAL,C1TOTAL,Acacia_mellifera,4,15,19,54,41,18,8,140
5,2013,C,1,TOTAL,C1TOTAL,Acacia_nilotica,0,0,0,0,1,0,0,1
5,2013,C,1,TOTAL,C1TOTAL,Balanites_rotundifolia,0,0,0,2,1,0,0,3
5,2013,C,1,TOTAL,C1TOTAL,Boscia_angustifolia,0,0,0,1,0,0,1,2
5,2013,C,1,TOTAL,C1TOTAL,Commiphora_habessinica,0,3,3,5,0,0,0,8
5,2013,C,1,TOTAL,C1TOTAL,Croton_dichogamus,1,4,5,46,27,3,0,81
5,2013,C,1,TOTAL,C1TOTAL,Grewia_kakothamnos,0,2,2,113,45,6,3,169
5,2013,C,1,TOTAL,C1TOTAL,Lycium_europaeum,0,0,0,1,1,0,0,2
5,2013,C,1,TOTAL,C1TOTAL,Maerua_angolensis,0,0,0,1,0,0,0,1
5,2013,C,1,TOTAL,C1TOTAL,Pyrostria_phyllanthoidea,0,0,0,1,0,0,0,1
5,2013,C,1,TOTAL,C1TOTAL,Rhus_natalensis,0,0,0,1,0,0,0,1
5,2013,C,2,MEGA,C2MEGA,Acacia_brevispica,19,14,33,12,13,3,4,65
5,2013,C,2,MEGA,C2MEGA,Acacia_etbaica,9,54,63,45,35,14,9,166
5,2013,C,2,MEGA,C2MEGA,Acacia_mellifera,4,2,6,1,3,1,2,13
5,2013,C,2,MEGA,C2MEGA,Boscia_angustifolia,0,1,1,1,0,0,2,4
5,2013,C,2,MEGA,C2MEGA,Commiphora_habessinica,0,11,11,4,1,0,0,16
5,2013,C,2,MEGA,C2MEGA,Cordia_monoica,0,1,1,0,0,0,0,1
5,2013,C,2,MEGA,C2MEGA,Croton_dichogamus,0,0,0,1,0,0,0,1
5,2013,C,2,MEGA,C2MEGA,Grewia_kakothamnos,1,5,6,11,2,1,0,20
5,2013,C,2,MEGA,C2MEGA,Lycium_europaeum,0,2,2,1,1,0,0,4
5,2013,C,2,MESO,C2MESO,Acacia_brevispica,71,15,86,32,27,11,7,163
5,2013,C,2,MESO,C2MESO,Acacia_etbaica,7,40,47,42,48,13,10,160
5,2013,C,2,MESO,C2MESO,Acacia_mellifera,7,4,11,8,1,3,5,28
5,2013,C,2,MESO,C2MESO,Acacia_tortilis,0,0,0,5,2,0,0,7
5,2013,C,2,MESO,C2MESO,Balanites_rotundifolia,0,1,1,0,2,0,1,4
5,2013,C,2,MESO,C2MESO,Boscia_angustifolia,0,1,1,0,0,0,0,1
5,2013,C,2,MESO,C2MESO,Commiphora_habessinica,0,3,3,1,0,0,0,4
5,2013,C,2,MESO,C2MESO,Cordia_monoica,0,1,1,0,0,0,0,1
5,2013,C,2,MESO,C2MESO,Croton_dichogamus,0,0,0,1,0,0,0,1
5,2013,C,2,MESO,C2MESO,Grewia_kakothamnos,0,0,0,7,0,0,0,7
5,2013,C,2,MESO,C2MESO,Lycium_europaeum,0,0,0,2,0,0,0,2
5,2013,C,2,OPEN,C2OPEN,Acacia_brevispica,0,13,13,12,2,0,0,27
5,2013,C,2,OPEN,C2OPEN,Acacia_etbaica,3,51,54,37,36,10,6,143
5,2013,C,2,OPEN,C2OPEN,Acacia_mellifera,0,1,1,4,8,3,3,19
5,2013,C,2,OPEN,C2OPEN,Acacia_tortilis,0,1,1,0,0,0,0,1
5,2013,C,2,OPEN,C2OPEN,Boscia_angustifolia,0,1,1,2,0,0,0,3
5,2013,C,2,OPEN,C2OPEN,Cadaba_farinosa,0,0,0,1,2,1,0,4
5,2013,C,2,OPEN,C2OPEN,Croton_dichogamus,0,2,2,3,0,0,0,5
5,2013,C,2,OPEN,C2OPEN,Grewia_kakothamnos,0,9,9,2,0,0,0,11
5,2013,C,2,OPEN,C2OPEN,Lycium_europaeum,0,4,4,2,0,0,0,6
5,2013,C,2,TOTAL,C2TOTAL,Acacia_brevispica,307,24,331,36,39,26,37,469
5,2013,C,2,TOTAL,C2TOTAL,Acacia_etbaica,7,48,55,84,61,31,16,247
5,2013,C,2,TOTAL,C2TOTAL,Acacia_mellifera,10,11,21,29,22,8,11,91
5,2013,C,2,TOTAL,C2TOTAL,Acacia_tortilis,0,0,0,1,0,0,0,1
5,2013,C,2,TOTAL,C2TOTAL,Balanites_rotundifolia,0,0,0,0,0,1,5,6
5,2013,C,2,TOTAL,C2TOTAL,Boscia_angustifolia,0,1,1,2,0,0,0,3
5,2013,C,2,TOTAL,C2TOTAL,Commiphora_habessinica,0,3,3,10,1,0,0,14
5,2013,C,2,TOTAL,C2TOTAL,Croton_dichogamus,6,1,7,58,12,1,0,78
5,2013,C,2,TOTAL,C2TOTAL,Grewia_kakothamnos,0,4,4,20,11,5,0,40
5,2013,C,2,TOTAL,C2TOTAL,Lycium_europaeum,0,1,1,0,1,0,0,2
5,2013,C,3,MEGA,C3MEGA,Acacia_brevispica,109,27,136,97,129,45,9,416
5,2013,C,3,MEGA,C3MEGA,Acacia_etbaica,1,38,39,55,33,14,12,153
5,2013,C,3,MEGA,C3MEGA,Acacia_mellifera,0,10,10,12,7,2,3,34
5,2013,C,3,MEGA,C3MEGA,Balanites_rotundifolia,0,0,0,1,1,0,0,2
5,2013,C,3,MEGA,C3MEGA,Boscia_angustifolia,0,0,0,2,1,1,2,6
5,2013,C,3,MEGA,C3MEGA,Commiphora_habessinica,0,2,2,4,0,0,0,6
5,2013,C,3,MEGA,C3MEGA,Croton_dichogamus,108,9,117,57,26,5,0,205
5,2013,C,3,MEGA,C3MEGA,Grewia_kakothamnos,0,7,7,53,25,5,0,90
5,2013,C,3,MEGA,C3MEGA,Lycium_europaeum,0,1,1,7,0,0,0,8
5,2013,C,3,MEGA,C3MEGA,Pyrostria_phyllanthoidea,0,0,0,0,0,2,0,2
5,2013,C,3,MEGA,C3MEGA,Teclea_nobilis,0,0,0,0,1,0,0,1
5,2013,C,3,MESO,C3MESO,Acacia_brevispica,7,11,18,28,22,2,3,73
5,2013,C,3,MESO,C3MESO,Acacia_etbaica,4,70,74,83,31,4,1,193
5,2013,C,3,MESO,C3MESO,Acacia_mellifera,3,15,18,4,4,4,2,32
5,2013,C,3,MESO,C3MESO,Acacia_tortilis,0,0,0,0,1,0,0,1
5,2013,C,3,MESO,C3MESO,Boscia_angustifolia,0,0,0,1,1,0,1,3
5,2013,C,3,MESO,C3MESO,Commiphora_habessinica,0,2,2,4,0,0,0,6
5,2013,C,3,MESO,C3MESO,Croton_dichogamus,0,3,3,28,4,0,0,35
5,2013,C,3,MESO,C3MESO,Grewia_kakothamnos,0,2,2,6,0,0,0,8
5,2013,C,3,MESO,C3MESO,Lycium_europaeum,0,0,0,1,0,0,0,1
5,2013,C,3,MESO,C3MESO,NONE,0,0,0,0,0,0,0,0
5,2013,C,3,OPEN,C3OPEN,Acacia_brevispica,10,19,29,123,22,0,0,174
5,2013,C,3,OPEN,C3OPEN,Acacia_etbaica,0,20,20,41,29,8,4,102
5,2013,C,3,OPEN,C3OPEN,Acacia_mellifera,0,14,14,12,10,0,1,37
5,2013,C,3,OPEN,C3OPEN,Acacia_tortilis,0,2,2,0,0,0,0,2
5,2013,C,3,OPEN,C3OPEN,Balanites_rotundifolia,0,1,1,0,4,0,1,6
5,2013,C,3,OPEN,C3OPEN,Boscia_angustifolia,0,0,0,3,3,0,5,11
5,2013,C,3,OPEN,C3OPEN,Commiphora_habessinica,0,2,2,0,0,0,0,2
5,2013,C,3,OPEN,C3OPEN,Croton_dichogamus,78,23,101,127,27,0,0,255
5,2013,C,3,OPEN,C3OPEN,Grewia_kakothamnos,1,0,1,10,0,0,0,11
5,2013,C,3,OPEN,C3OPEN,Pyrostria_phyllanthoidea,0,0,0,1,2,0,0,3
5,2013,C,3,TOTAL,C3TOTAL,Acacia_brevispica,221,32,253,40,60,23,25,401
5,2013,C,3,TOTAL,C3TOTAL,Acacia_etbaica,2,37,39,67,24,18,36,184
5,2013,C,3,TOTAL,C3TOTAL,Acacia_mellifera,1,37,38,23,15,5,1,82
5,2013,C,3,TOTAL,C3TOTAL,Balanites_rotundifolia,0,5,5,3,1,0,3,12
5,2013,C,3,TOTAL,C3TOTAL,Boscia_angustifolia,0,1,1,4,1,0,1,7
5,2013,C,3,TOTAL,C3TOTAL,Commiphora_habessinica,0,1,1,1,0,0,0,2
5,2013,C,3,TOTAL,C3TOTAL,Croton_dichogamus,61,19,80,76,26,13,2,197
5,2013,C,3,TOTAL,C3TOTAL,Grewia_kakothamnos,3,2,5,18,15,12,3,53
5,2013,C,3,TOTAL,C3TOTAL,Maerua_angolensis,0,0,0,1,1,0,0,2
5,2013,C,3,TOTAL,C3TOTAL,Pyrostria_phyllanthoidea,0,0,0,1,2,0,0,3
5,2013,N,1,MEGA,N1MEGA,Acacia_brevispica,123,6,129,34,18,4,8,193
5,2013,N,1,MEGA,N1MEGA,Acacia_etbaica,2,5,7,3,9,14,1,34
5,2013,N,1,MEGA,N1MEGA,Acacia_mellifera,84,63,147,10,28,19,13,217
5,2013,N,1,MEGA,N1MEGA,Acacia_tortilis,0,1,1,2,0,1,0,4
5,2013,N,1,MEGA,N1MEGA,Balanites_rotundifolia,0,0,0,0,1,0,0,1
5,2013,N,1,MEGA,N1MEGA,Boscia_angustifolia,0,0,0,1,1,0,0,2
5,2013,N,1,MEGA,N1MEGA,Commiphora_habessinica,0,0,0,1,0,0,0,1
5,2013,N,1,MEGA,N1MEGA,Croton_dichogamus,23,0,23,21,9,0,0,53
5,2013,N,1,MEGA,N1MEGA,Euphorbia_bussei,0,5,5,26,4,0,0,35
5,2013,N,1,MEGA,N1MEGA,Euphorbia_heterospina,0,1,1,2,0,0,0,3
5,2013,N,1,MEGA,N1MEGA,Grewia_kakothamnos,1,3,4,10,1,0,0,15
5,2013,N,1,MEGA,N1MEGA,Lycium_europaeum,0,1,1,0,0,0,0,1
5,2013,N,1,MEGA,N1MEGA,Pyrostria_phyllanthoidea,0,1,1,2,0,0,0,3
5,2013,N,1,MEGA,N1MEGA,Teclea_nobilis,0,1,1,17,1,0,0,19
5,2013,N,1,MESO,N1MESO,Acacia_brevispica,131,15,146,97,93,24,16,376
5,2013,N,1,MESO,N1MESO,Acacia_etbaica,0,0,0,4,1,1,3,9
5,2013,N,1,MESO,N1MESO,Acacia_mellifera,1,51,52,17,11,3,6,89
5,2013,N,1,MESO,N1MESO,Acacia_tortilis,0,1,1,4,1,0,4,10
5,2013,N,1,MESO,N1MESO,Boscia_angustifolia,0,0,0,1,0,0,0,1
5,2013,N,1,MESO,N1MESO,Commiphora_habessinica,0,1,1,6,1,0,0,8
5,2013,N,1,MESO,N1MESO,Croton_dichogamus,4,3,7,13,11,0,1,32
5,2013,N,1,MESO,N1MESO,Euphorbia_bussei,0,2,2,31,6,0,0,39
5,2013,N,1,MESO,N1MESO,Euphorbia_heterospina,0,4,4,33,5,0,0,42
5,2013,N,1,MESO,N1MESO,Grewia_kakothamnos,0,1,1,32,16,1,0,50
5,2013,N,1,MESO,N1MESO,Maerua_angolensis,0,0,0,2,0,0,0,2
5,2013,N,1,MESO,N1MESO,Pyrostria_phyllanthoidea,0,0,0,4,3,0,0,7
5,2013,N,1,MESO,N1MESO,Teclea_nobilis,0,0,0,14,3,0,0,17
5,2013,N,1,OPEN,N1OPEN,Acacia_brevispica,0,8,8,45,7,1,0,61
5,2013,N,1,OPEN,N1OPEN,Acacia_etbaica,0,1,1,0,10,4,0,15
5,2013,N,1,OPEN,N1OPEN,Acacia_mellifera,51,50,101,8,9,5,3,126
5,2013,N,1,OPEN,N1OPEN,Acacia_tortilis,0,2,2,10,4,2,0,18
5,2013,N,1,OPEN,N1OPEN,Boscia_angustifolia,0,0,0,1,0,0,0,1
5,2013,N,1,OPEN,N1OPEN,Commiphora_habessinica,0,0,0,2,0,0,0,2
5,2013,N,1,OPEN,N1OPEN,Croton_dichogamus,0,0,0,4,0,0,0,4
5,2013,N,1,OPEN,N1OPEN,Euclea_divinorum,0,0,0,1,0,0,0,1
5,2013,N,1,OPEN,N1OPEN,Euphorbia_bussei,0,4,4,11,1,0,0,16
5,2013,N,1,OPEN,N1OPEN,Euphorbia_heterospina,0,4,4,21,0,0,0,25
5,2013,N,1,OPEN,N1OPEN,Grewia_kakothamnos,0,1,1,6,0,0,0,7
5,2013,N,1,OPEN,N1OPEN,NONE,0,0,0,0,0,0,0,0
5,2013,N,1,OPEN,N1OPEN,Opuntia_ficus-indica,0,1,1,0,0,0,0,1
5,2013,N,1,OPEN,N1OPEN,Teclea_nobilis,0,3,3,9,0,0,0,12
5,2013,N,1,TOTAL,N1TOTAL,Acacia_brevispica,501,30,531,39,36,28,26,660
5,2013,N,1,TOTAL,N1TOTAL,Acacia_etbaica,1,3,4,11,4,7,8,34
5,2013,N,1,TOTAL,N1TOTAL,Acacia_mellifera,36,82,118,29,43,30,30,250
5,2013,N,1,TOTAL,N1TOTAL,Acacia_tortilis,0,0,0,3,1,0,0,4
5,2013,N,1,TOTAL,N1TOTAL,Balanites_rotundifolia,0,1,1,0,0,1,0,2
5,2013,N,1,TOTAL,N1TOTAL,Commiphora_habessinica,0,0,0,2,0,0,0,2
5,2013,N,1,TOTAL,N1TOTAL,Croton_dichogamus,0,0,0,1,1,0,0,2
5,2013,N,1,TOTAL,N1TOTAL,Euphorbia_bussei,1,1,2,22,4,0,0,28
5,2013,N,1,TOTAL,N1TOTAL,Grewia_kakothamnos,1,2,3,11,5,1,0,20
5,2013,N,1,TOTAL,N1TOTAL,Maerua_angolensis,0,1,1,1,1,0,0,3
5,2013,N,1,TOTAL,N1TOTAL,Pyrostria_phyllanthoidea,0,0,0,2,0,0,0,2
5,2013,N,1,TOTAL,N1TOTAL,Teclea_nobilis,0,1,1,3,0,1,0,5
5,2013,N,2,MEGA,N2MEGA,Acacia_brevispica,345,23,368,8,10,4,14,404
5,2013,N,2,MEGA,N2MEGA,Acacia_mellifera,29,2,31,4,42,40,60,177
5,2013,N,2,MEGA,N2MEGA,Acacia_tortilis,0,1,1,6,1,0,0,8
5,2013,N,2,MEGA,N2MEGA,Balanites_rotundifolia,0,0,0,0,1,0,0,1
5,2013,N,2,MEGA,N2MEGA,Boscia_angustifolia,0,0,0,0,1,0,0,1
5,2013,N,2,MEGA,N2MEGA,Croton_dichogamus,0,0,0,3,1,0,0,4
5,2013,N,2,MEGA,N2MEGA,Euphorbia_bussei,0,7,7,14,4,1,0,26
5,2013,N,2,MEGA,N2MEGA,Euphorbia_heterospina,0,3,3,11,6,0,0,20
5,2013,N,2,MEGA,N2MEGA,Grewia_kakothamnos,0,5,5,11,2,1,0,19
5,2013,N,2,MEGA,N2MEGA,Lycium_europaeum,0,1,1,5,3,0,2,11
5,2013,N,2,MEGA,N2MEGA,Maerua_angolensis,0,0,0,2,0,0,0,2
5,2013,N,2,MEGA,N2MEGA,NONE,0,0,0,0,0,0,0,0
5,2013,N,2,MEGA,N2MEGA,Teclea_nobilis,0,0,0,0,1,0,0,1
5,2013,N,2,MESO,N2MESO,Acacia_brevispica,5,4,9,35,7,4,0,55
5,2013,N,2,MESO,N2MESO,Acacia_etbaica,0,0,0,0,1,1,0,2
5,2013,N,2,MESO,N2MESO,Acacia_mellifera,33,11,44,3,8,20,1,76
5,2013,N,2,MESO,N2MESO,Acacia_tortilis,0,0,0,0,1,0,0,1
5,2013,N,2,MESO,N2MESO,Boscia_angustifolia,0,0,0,1,0,0,0,1
5,2013,N,2,MESO,N2MESO,Commiphora_habessinica,0,0,0,3,1,0,0,4
5,2013,N,2,MESO,N2MESO,Croton_dichogamus,11,3,14,20,2,0,0,36
5,2013,N,2,MESO,N2MESO,Euphorbia_bussei,0,5,5,20,2,0,0,27
5,2013,N,2,MESO,N2MESO,Euphorbia_heterospina,24,33,57,167,14,10,0,248
5,2013,N,2,MESO,N2MESO,Grewia_kakothamnos,0,1,1,11,1,0,0,13
5,2013,N,2,MESO,N2MESO,NONE,0,0,0,0,0,0,0,0
5,2013,N,2,MESO,N2MESO,Pyrostria_phyllanthoidea,0,1,1,6,1,0,0,8
5,2013,N,2,MESO,N2MESO,Teclea_nobilis,0,0,0,12,0,0,0,12
5,2013,N,2,OPEN,N2OPEN,Acacia_brevispica,0,1,1,17,2,0,2,22
5,2013,N,2,OPEN,N2OPEN,Acacia_etbaica,0,2,2,0,0,0,0,2
5,2013,N,2,OPEN,N2OPEN,Acacia_mellifera,2,7,9,4,3,1,4,21
5,2013,N,2,OPEN,N2OPEN,Acacia_tortilis,0,0,0,3,2,1,2,8
5,2013,N,2,OPEN,N2OPEN,Commiphora_habessinica,0,0,0,1,2,0,0,3
5,2013,N,2,OPEN,N2OPEN,Croton_dichogamus,0,14,14,6,2,0,0,22
5,2013,N,2,OPEN,N2OPEN,Euphorbia_bussei,1,0,1,6,0,0,0,7
5,2013,N,2,OPEN,N2OPEN,Euphorbia_heterospina,0,0,0,19,3,0,0,22
5,2013,N,2,OPEN,N2OPEN,Grewia_kakothamnos,0,0,0,10,0,0,0,10
5,2013,N,2,OPEN,N2OPEN,Lycium_europaeum,0,0,0,1,0,0,0,1
5,2013,N,2,OPEN,N2OPEN,Maerua_angolensis,0,0,0,1,0,0,0,1
5,2013,N,2,OPEN,N2OPEN,NONE,0,0,0,0,0,0,0,0
5,2013,N,2,OPEN,N2OPEN,Teclea_nobilis,0,0,0,2,0,0,0,2
5,2013,N,2,TOTAL,N2TOTAL,Acacia_brevispica,0,2,2,26,17,1,0,44
5,2013,N,2,TOTAL,N2TOTAL,Acacia_mellifera,0,4,4,1,3,6,5,15
5,2013,N,2,TOTAL,N2TOTAL,Acacia_tortilis,0,0,0,2,1,0,0,3
5,2013,N,2,TOTAL,N2TOTAL,Commiphora_habessinica,0,0,0,5,2,2,0,9
5,2013,N,2,TOTAL,N2TOTAL,Croton_dichogamus,0,0,0,38,5,0,0,43
5,2013,N,2,TOTAL,N2TOTAL,Euphorbia_bussei,0,5,5,12,2,0,0,14
5,2013,N,2,TOTAL,N2TOTAL,Euphorbia_heterospina,0,40,40,269,40,2,2,313
5,2013,N,2,TOTAL,N2TOTAL,Grewia_kakothamnos,0,1,1,15,4,0,0,19
5,2013,N,2,TOTAL,N2TOTAL,Maerua_angolensis,0,0,0,0,2,0,0,2
5,2013,N,2,TOTAL,N2TOTAL,Pyrostria_phyllanthoidea,0,0,0,17,6,0,0,23
5,2013,N,2,TOTAL,N2TOTAL,Teclea_nobilis,0,0,0,15,3,0,0,18
5,2013,N,3,MEGA,N3MEGA,Acacia_brevispica,338,2,340,43,34,5,3,425
5,2013,N,3,MEGA,N3MEGA,Acacia_etbaica,0,0,0,1,3,0,0,4
5,2013,N,3,MEGA,N3MEGA,Acacia_mellifera,29,27,56,6,27,15,9,113
5,2013,N,3,MEGA,N3MEGA,Acacia_tortilis,0,3,3,3,4,1,0,11
5,2013,N,3,MEGA,N3MEGA,Boscia_angustifolia,0,0,0,0,1,0,0,1
5,2013,N,3,MEGA,N3MEGA,Commiphora_habessinica,0,1,1,0,0,0,0,1
5,2013,N,3,MEGA,N3MEGA,Croton_dichogamus,0,1,1,1,0,0,0,2
5,2013,N,3,MEGA,N3MEGA,Euphorbia_bussei,0,2,2,14,5,0,0,21
5,2013,N,3,MEGA,N3MEGA,Euphorbia_heterospina,0,43,43,150,78,15,5,291
5,2013,N,3,MEGA,N3MEGA,Grewia_kakothamnos,0,3,3,7,6,0,0,16
5,2013,N,3,MEGA,N3MEGA,Maerua_angolensis,0,0,0,0,1,0,0,1
5,2013,N,3,MEGA,N3MEGA,NONE,0,0,0,0,0,0,0,0
5,2013,N,3,MEGA,N3MEGA,Pyrostria_phyllanthoidea,0,0,0,1,2,0,0,3
5,2013,N,3,MEGA,N3MEGA,Rhus_natalensis,0,0,0,1,0,0,0,1
5,2013,N,3,MEGA,N3MEGA,Teclea_nobilis,0,1,1,16,1,0,0,18
5,2013,N,3,MESO,N3MESO,Acacia_brevispica,66,10,76,58,34,5,2,175
5,2013,N,3,MESO,N3MESO,Acacia_etbaica,2,0,2,1,8,3,1,15
5,2013,N,3,MESO,N3MESO,Acacia_mellifera,142,54,196,9,21,9,2,237
5,2013,N,3,MESO,N3MESO,Acacia_tortilis,0,0,0,0,0,1,0,1
5,2013,N,3,MESO,N3MESO,Balanites_rotundifolia,0,0,0,0,4,0,0,4
5,2013,N,3,MESO,N3MESO,Commiphora_habessinica,0,0,0,1,0,0,0,1
5,2013,N,3,MESO,N3MESO,Croton_dichogamus,2,2,4,12,3,0,0,19
5,2013,N,3,MESO,N3MESO,Euphorbia_bussei,0,6,6,36,4,0,0,46
5,2013,N,3,MESO,N3MESO,Grewia_kakothamnos,0,1,1,8,1,1,0,11
5,2013,N,3,MESO,N3MESO,Maerua_angolensis,0,0,0,1,0,0,0,1
5,2013,N,3,MESO,N3MESO,Maytenus_heterophylla,0,0,0,0,2,0,0,2
5,2013,N,3,MESO,N3MESO,NONE,0,0,0,0,0,0,0,0
5,2013,N,3,MESO,N3MESO,Teclea_nobilis,0,0,0,14,2,0,0,16
5,2013,N,3,OPEN,N3OPEN,Acacia_brevispica,0,9,9,81,3,0,0,93
5,2013,N,3,OPEN,N3OPEN,Acacia_etbaica,1,0,1,0,2,0,0,3
5,2013,N,3,OPEN,N3OPEN,Acacia_mellifera,1,5,6,0,1,1,0,8
5,2013,N,3,OPEN,N3OPEN,Acacia_tortilis,0,0,0,0,0,1,0,1
5,2013,N,3,OPEN,N3OPEN,Boscia_angustifolia,0,0,0,1,0,0,0,1
5,2013,N,3,OPEN,N3OPEN,Croton_dichogamus,0,0,0,28,2,0,0,30
5,2013,N,3,OPEN,N3OPEN,Euphorbia_bussei,0,8,8,57,2,0,0,67
5,2013,N,3,OPEN,N3OPEN,Euphorbia_heterospina,0,16,16,134,25,0,0,175
5,2013,N,3,OPEN,N3OPEN,Grewia_kakothamnos,0,1,1,4,0,0,0,5
5,2013,N,3,OPEN,N3OPEN,NONE,0,0,0,0,0,0,0,0
5,2013,N,3,OPEN,N3OPEN,Pyrostria_phyllanthoidea,0,1,1,22,7,0,0,30
5,2013,N,3,OPEN,N3OPEN,Teclea_nobilis,0,0,0,20,0,0,0,20
5,2013,N,3,TOTAL,N3TOTAL,Acacia_brevispica,4,6,10,60,24,4,0,98
5,2013,N,3,TOTAL,N3TOTAL,Acacia_etbaica,0,1,1,5,9,0,0,15
5,2013,N,3,TOTAL,N3TOTAL,Acacia_mellifera,7,62,69,29,7,4,0,109
5,2013,N,3,TOTAL,N3TOTAL,Acacia_tortilis,0,0,0,2,0,0,0,2
5,2013,N,3,TOTAL,N3TOTAL,Balanites_rotundifolia,0,0,0,0,1,1,0,2
5,2013,N,3,TOTAL,N3TOTAL,Commiphora_habessinica,0,0,0,1,0,0,0,1
5,2013,N,3,TOTAL,N3TOTAL,Croton_dichogamus,4,1,5,23,1,0,0,29
5,2013,N,3,TOTAL,N3TOTAL,Euphorbia_bussei,0,5,5,21,2,0,0,28
5,2013,N,3,TOTAL,N3TOTAL,Euphorbia_heterospina,0,13,13,55,4,1,0,73
5,2013,N,3,TOTAL,N3TOTAL,Grewia_kakothamnos,0,0,0,8,0,0,0,8
5,2013,N,3,TOTAL,N3TOTAL,Maerua_angolensis,0,0,0,5,0,0,0,5
5,2013,N,3,TOTAL,N3TOTAL,Pyrostria_phyllanthoidea,0,0,0,3,0,0,0,3
