census,year,site,block,treatment,plot,species,<0.5m,0.5_1m,<1m,1_2m,2_3m,3_4m,>4m,total
1,2009,S,3,MEGA,S3MEGA,Acacia_mellifera,NA,NA,19,25,21,6,5,76
1,2009,S,3,MEGA,S3MEGA,Acacia_nilotica,NA,NA,6,0,3,1,0,10
1,2009,S,3,MEGA,S3MEGA,Balanites_rotundifolia,NA,NA,1,1,1,0,1,4
1,2009,S,3,MEGA,S3MEGA,Boscia_angustifolia,NA,NA,6,2,1,1,2,12
1,2009,S,3,MEGA,S3MEGA,Commiphora_spp,NA,NA,1,0,0,0,0,1
1,2009,S,3,MEGA,S3MEGA,Croton_dichogamus,NA,NA,14,25,18,1,0,58
1,2009,S,3,MEGA,S3MEGA,Euclea_divinorum,NA,NA,11,8,5,1,0,25
1,2009,S,3,MEGA,S3MEGA,Grewia_kakothamnos,NA,NA,17,20,12,0,0,49
1,2009,S,3,MEGA,S3MEGA,Rhus_natalensis,NA,NA,27,7,0,0,0,34
1,2009,S,3,MESO,S3MESO,Acacia_brevispica,NA,NA,60,59,105,47,16,287
1,2009,S,3,MESO,S3MESO,Acacia_etbaica,NA,NA,32,46,99,61,38,276
1,2009,S,3,MESO,S3MESO,Acacia_gerrardii,0,0,0,0,1,0,0,1
1,2009,S,3,MESO,S3MESO,Acacia_mellifera,NA,NA,2,18,19,8,1,48
1,2009,S,3,MESO,S3MESO,Acacia_nilotica,0,0,0,2,4,0,0,6
1,2009,S,3,MESO,S3MESO,Balanites_rotundifolia,0,0,0,2,1,1,2,6
1,2009,S,3,MESO,S3MESO,Boscia_angustifolia,NA,NA,2,4,1,0,3,10
1,2009,S,3,MESO,S3MESO,Commiphora_spp,NA,NA,2,0,0,0,0,2
1,2009,S,3,MESO,S3MESO,Croton_dichogamus,NA,NA,43,104,59,5,0,211
1,2009,S,3,MESO,S3MESO,Euclea_divinorum,NA,NA,2,0,2,0,0,4
1,2009,S,3,MESO,S3MESO,Grewia_kakothamnos,NA,NA,12,17,6,0,0,35
1,2009,S,3,MESO,S3MESO,Lycium_europaeum,0,0,0,1,0,0,0,1
1,2009,S,3,MESO,S3MESO,Rhus_natalensis,NA,NA,9,2,0,0,0,11
1,2009,S,3,OPEN,S3OPEN,Acacia_brevispica,NA,NA,26,73,86,18,4,207
1,2009,S,3,OPEN,S3OPEN,Acacia_drepanolobium,0,0,0,2,0,0,0,2
1,2009,S,3,OPEN,S3OPEN,Acacia_etbaica,NA,NA,12,40,55,18,23,148
1,2009,S,3,OPEN,S3OPEN,Acacia_gerrardii,0,0,0,1,0,0,0,1
1,2009,S,3,OPEN,S3OPEN,Acacia_mellifera,NA,NA,6,10,12,0,2,30
1,2009,S,3,OPEN,S3OPEN,Acacia_nilotica,NA,NA,1,5,0,0,1,7
1,2009,S,3,OPEN,S3OPEN,Boscia_angustifolia,NA,NA,2,7,3,3,5,20
1,2009,S,3,OPEN,S3OPEN,Croton_dichogamus,NA,NA,9,24,18,7,0,58
1,2009,S,3,OPEN,S3OPEN,Cyperus_spp,NA,NA,4,4,1,0,1,10
1,2009,S,3,OPEN,S3OPEN,Euclea_divinorum,NA,NA,8,6,17,2,0,33
1,2009,S,3,OPEN,S3OPEN,Grewia_kakothamnos,NA,NA,30,36,13,2,0,81
1,2009,S,3,OPEN,S3OPEN,Lycium_europaeum,NA,NA,1,1,0,0,0,2
1,2009,S,3,OPEN,S3OPEN,NONE,0,0,0,0,0,0,0,0
1,2009,S,3,OPEN,S3OPEN,Rhus_natalensis,NA,NA,11,5,0,0,1,17
1,2009,S,3,TOTAL,S3TOTAL,Acacia_brevispica,NA,NA,23,59,63,64,4,213
1,2009,S,3,TOTAL,S3TOTAL,Acacia_drepanolobium,NA,NA,39,8,4,0,0,51
1,2009,S,3,TOTAL,S3TOTAL,Acacia_etbaica,NA,NA,22,15,49,36,10,132
1,2009,S,3,TOTAL,S3TOTAL,Acacia_gerrardii,0,0,0,4,7,6,0,17
1,2009,S,3,TOTAL,S3TOTAL,Acacia_mellifera,NA,NA,38,23,14,13,8,96
1,2009,S,3,TOTAL,S3TOTAL,Acacia_nilotica,NA,NA,8,4,0,0,0,12
1,2009,S,3,TOTAL,S3TOTAL,Balanites_rotundifolia,NA,NA,2,1,9,5,1,18
1,2009,S,3,TOTAL,S3TOTAL,Boscia_angustifolia,NA,NA,4,2,2,1,0,9
1,2009,S,3,TOTAL,S3TOTAL,Commiphora_habessinica,NA,NA,1,0,0,0,0,1
1,2009,S,3,TOTAL,S3TOTAL,Commiphora_spp,NA,NA,1,2,0,0,0,3
1,2009,S,3,TOTAL,S3TOTAL,Croton_dichogamus,NA,NA,4,7,0,0,0,11
1,2009,S,3,TOTAL,S3TOTAL,Cyperus_spp,NA,NA,1,0,0,0,0,1
1,2009,S,3,TOTAL,S3TOTAL,Euclea_divinorum,NA,NA,7,1,2,0,0,10
1,2009,S,3,TOTAL,S3TOTAL,Grewia_kakothamnos,NA,NA,60,30,4,1,0,95
1,2009,S,3,TOTAL,S3TOTAL,Lycium_europaeum,NA,NA,1,2,1,0,0,4
1,2009,S,3,TOTAL,S3TOTAL,NONE,0,0,0,0,0,0,0,0
1,2009,S,3,TOTAL,S3TOTAL,Rhus_natalensis,NA,NA,16,3,0,0,0,19
2,2010,C,1,MEGA,C1MEGA,Acacia_brevispica,NA,NA,1,16,12,3,0,32
2,2010,C,1,MEGA,C1MEGA,Acacia_etbaica,NA,NA,37,39,66,35,6,183
2,2010,C,1,MEGA,C1MEGA,Acacia_mellifera,NA,NA,1,3,5,3,0,12
2,2010,C,1,MEGA,C1MEGA,Acacia_tortilis,NA,NA,1,1,0,0,0,2
2,2010,C,1,MEGA,C1MEGA,Balanites_rotundifolia,0,0,0,0,0,0,1,1
2,2010,C,1,MEGA,C1MEGA,Boscia_angustifolia,0,0,0,0,1,0,0,1
2,2010,C,1,MEGA,C1MEGA,Croton_dichogamus,0,0,0,4,1,0,0,5
2,2010,C,1,MEGA,C1MEGA,Grewia_kakothamnos,0,0,0,2,0,0,0,2
2,2010,C,1,MESO,C1MESO,Acacia_brevispica,NA,NA,3,70,28,2,0,103
2,2010,C,1,MESO,C1MESO,Acacia_etbaica,NA,NA,46,85,58,23,4,216
2,2010,C,1,MESO,C1MESO,Acacia_mellifera,NA,NA,2,18,2,0,0,22
2,2010,C,1,MESO,C1MESO,Acacia_tortilis,0,0,0,1,0,0,0,1
2,2010,C,1,MESO,C1MESO,Balanites_rotundifolia,0,0,0,0,1,0,1,2
2,2010,C,1,MESO,C1MESO,Boscia_angustifolia,0,0,0,2,1,1,2,6
2,2010,C,1,MESO,C1MESO,Commiphora_habessinica,NA,NA,1,0,0,0,0,1
2,2010,C,1,MESO,C1MESO,Croton_dichogamus,NA,NA,15,57,3,0,0,75
2,2010,C,1,MESO,C1MESO,Grewia_kakothamnos,0,0,0,16,2,0,0,18
2,2010,C,1,MESO,C1MESO,Lycium_europaeum,0,0,0,2,0,0,0,2
2,2010,C,1,MESO,C1MESO,NONE,0,0,0,0,0,0,0,0
2,2010,C,1,OPEN,C1OPEN,Acacia_brevispica,0,0,0,43,29,1,0,73
2,2010,C,1,OPEN,C1OPEN,Acacia_etbaica,NA,NA,15,22,37,25,5,104
2,2010,C,1,OPEN,C1OPEN,Acacia_mellifera,NA,NA,9,26,13,5,1,54
2,2010,C,1,OPEN,C1OPEN,Acacia_tortilis,0,0,0,1,0,0,0,1
2,2010,C,1,OPEN,C1OPEN,Balanites_rotundifolia,NA,NA,1,1,0,1,0,3
2,2010,C,1,OPEN,C1OPEN,Boscia_angustifolia,0,0,0,0,2,1,0,3
2,2010,C,1,OPEN,C1OPEN,Croton_dichogamus,NA,NA,1,12,2,0,0,15
2,2010,C,1,OPEN,C1OPEN,Grewia_kakothamnos,0,0,0,4,0,0,0,4
2,2010,C,1,OPEN,C1OPEN,Lycium_europaeum,0,0,0,1,0,0,0,1
2,2010,C,1,TOTAL,C1TOTAL,Acacia_brevispica,NA,NA,8,126,29,3,1,167
2,2010,C,1,TOTAL,C1TOTAL,Acacia_etbaica,NA,NA,31,81,86,11,5,214
2,2010,C,1,TOTAL,C1TOTAL,Acacia_mellifera,NA,NA,30,52,25,3,0,110
2,2010,C,1,TOTAL,C1TOTAL,Acacia_nilotica,NA,NA,1,2,0,0,0,3
2,2010,C,1,TOTAL,C1TOTAL,Balanites_rotundifolia,0,0,0,1,1,0,0,2
2,2010,C,1,TOTAL,C1TOTAL,Boscia_angustifolia,0,0,0,2,0,0,1,3
2,2010,C,1,TOTAL,C1TOTAL,Commiphora_habessinica,NA,NA,1,0,0,0,0,1
2,2010,C,1,TOTAL,C1TOTAL,Croton_dichogamus,NA,NA,3,41,1,0,0,45
2,2010,C,1,TOTAL,C1TOTAL,Grewia_kakothamnos,NA,NA,20,64,1,0,0,85
2,2010,C,2,MEGA,C2MEGA,Acacia_brevispica,NA,NA,2,20,17,7,0,44
2,2010,C,2,MEGA,C2MEGA,Acacia_etbaica,NA,NA,44,28,41,15,2,130
2,2010,C,2,MEGA,C2MEGA,Acacia_mellifera,0,0,0,1,5,2,1,9
2,2010,C,2,MEGA,C2MEGA,Boscia_angustifolia,NA,NA,2,0,1,1,2,6
